Date,target,predicted
2017-03-08,81.03,82.09861934528999
2017-03-09,81.67,82.07219836328295
2017-03-10,81.61,82.04589152048266
2017-03-11,81.61,81.94300267607014
2017-03-12,81.61,81.91692193115887
2017-03-13,81.42,81.96764856898426
2017-03-14,80.99,81.94179105484
2017-03-15,82.0,81.91604409576576
2017-03-16,82.07,81.89040699269299
2017-03-17,82.0,81.8648790523348
2017-03-18,82.0,81.7627641751742
2017-03-19,82.0,81.73745250320917
2017-03-20,82.0,81.77763710956606
2017-03-21,81.83,81.74128201489475
2017-03-22,81.76,81.70508164460898
2017-03-23,81.86,81.66903502040259
2017-03-24,81.23,81.63314117211576
2017-03-25,81.23,81.52070372569779
2017-03-26,81.23,81.48511255092944
2017-03-27,81.25,81.5263667015879
2017-03-28,81.84,81.49107441537308
2017-03-29,82.02,81.45593017356805
2017-03-30,83.7,81.42093305316575
2017-03-31,82.01,81.38608213874613
2017-04-01,82.01,82.18596666195754
2017-04-02,82.01,82.15140544317546
2017-04-03,82.07,82.19368314078747
2017-04-04,82.37,82.15940804504044
2017-04-05,82.53,82.12527468924236
2017-04-06,83.01,82.0912822018845
2017-04-07,82.76,82.05742971852578
2017-04-08,82.76,81.94702096976471
2017-04-09,82.76,81.91344592897713
2017-04-10,83.13,81.95670375249301
2017-04-11,82.84,81.92340277953281
2017-04-12,82.97,81.8902375918824
2017-04-13,81.69,81.85720736603344
2017-04-14,81.69,81.74761587311787
2017-04-15,81.69,81.71485312663481
2017-04-16,81.69,81.68222291069651
2017-04-17,81.58,81.7264198397088
2017-04-18,81.05,81.6940522985642
2017-04-19,80.49,81.66181491426687
2017-04-20,81.01,81.66147539131543
2017-04-21,80.69,81.6611348066208
2017-04-22,80.69,81.5840977740063
2017-04-23,80.69,81.58375514272666
2017-04-24,81.11,81.66010693773842
2017-04-25,81.73,81.6597623596981
2017-04-26,81.4,81.65941684472091
2017-04-27,81.26,81.65907041658556
2017-04-28,81.65,81.65872309869337
2017-04-29,81.65,81.58167950212555
2017-04-30,81.65,81.58133047343927
2017-05-01,82.06,82.51355948928176
2017-05-02,82.05,82.48638483267132
2017-05-03,82.7,82.45931118765111
2017-05-04,81.64,82.4323379972866
2017-05-05,82.02,82.40546470867775
2017-05-06,82.02,82.30199536097462
2017-05-07,82.02,82.27532023313142
2017-05-08,82.89,82.32543878413344
2017-05-09,82.31,82.29895965295873
2017-05-10,81.91,82.27257771828954
2017-05-11,82.61,82.24629245068354
2017-05-12,82.55,82.22010332448735
2017-05-13,82.55,82.1173144058539
2017-05-14,82.55,82.09131600051114
2017-05-15,82.8,82.1421075939761
2017-05-16,82.55,82.11629785152945
2017-05-17,81.99,82.090581677925
2017-05-18,81.75,82.06495856956099
2017-05-19,81.93,82.03942802640267
2017-05-20,81.93,81.91701042973546
2017-05-21,81.93,81.87145453051926
2017-05-22,82.29,81.90275942722656
2017-05-23,82.58,81.8575334008965
2017-05-24,82.29,81.81247097482083
2017-05-25,81.75,81.76757126669872
2017-05-26,81.55,81.7228334005249
2017-05-27,81.55,81.60156109458148
2017-05-28,81.55,81.55714430919033
2017-05-29,81.55,81.51288677494995
2017-05-30,81.1,81.54548305243588
2017-05-31,80.5,81.5015414724021
2017-06-01,80.7,81.5598687645188
2017-06-02,79.5,81.56151888538898
2017-06-03,79.5,81.4864657738317
2017-06-04,79.5,81.4881003092114
2017-06-05,80.12,81.56642254646886
2017-06-06,81.21,81.56804171612657
2017-06-07,80.91,81.56965328404931
2017-06-08,80.62,81.57125730364623
2017-06-09,82.13,81.57285382782266
2017-06-10,82.13,81.49774749704648
2017-06-11,82.13,81.49932918714421
2017-06-12,82.93,81.57759894956234
2017-06-13,82.96,81.57916601137276
2017-06-14,82.07,81.58072583502235
2017-06-15,82.26,81.5822784705424
2017-06-16,83.49,81.58382396750949
2017-06-17,83.49,81.50866696309185
2017-06-18,83.49,81.5101983298564
2017-06-19,82.76,81.58841811602815
2017-06-20,82.31,81.58993554549397
2017-06-21,81.44,81.59144607755206
2017-06-22,81.08,81.59294975912508
2017-06-23,81.61,81.59444663671002
2017-06-24,81.61,81.51924134443198
2017-06-25,81.61,81.52072475185287
2017-06-26,81.24,81.5988969042237
2017-06-27,81.11,81.60036702249181
2017-06-28,81.53,81.60183056304686
2017-06-29,80.7,81.60328756994113
2017-06-30,80.73,81.60473808682673
2017-07-01,80.73,80.49421382003584
2017-07-02,80.73,80.49565148632064
2017-07-03,82.1,80.57377820319834
2017-07-04,82.1,80.49850777695156
