,Date,Apple Mobility Present,AACHEN_WALKING,HALLAND COUNTY_DRIVING,HOKKAIDO (PREFECTURE)_WALKING,HYOGO PREFECTURE_WALKING,ILLINOIS_WALKING,ISHIKAWA PREFECTURE_TRANSIT,ALBANY_WALKING,ALBANY_DRIVING,ALLENTOWN_TRANSIT,WILLIAMSBURG CITY_DRIVING,MADISON COUNTY_DRIVING,MARION COUNTY_DRIVING,REDWOOD COUNTY_DRIVING,RENO COUNTY_DRIVING,RICHLAND COUNTY_DRIVING,RICHMOND COUNTY_DRIVING,HAYWOOD COUNTY_DRIVING,HENDERSON COUNTY_DRIVING,HENRY COUNTY_DRIVING,HERKIMER COUNTY_DRIVING,MECKLENBURG COUNTY_WALKING,MERCED COUNTY_WALKING,MERCER COUNTY_DRIVING,COMAL COUNTY_DRIVING,CONTRA COSTA COUNTY_TRANSIT,CONTRA COSTA COUNTY_DRIVING,COOK COUNTY_TRANSIT,COSHOCTON COUNTY_DRIVING,COWLITZ COUNTY_DRIVING,CRAVEN COUNTY_DRIVING,HINDS COUNTY_DRIVING,HONOLULU COUNTY_WALKING,HONOLULU COUNTY_DRIVING,HOPEWELL CITY_DRIVING,ALAMEDA COUNTY_DRIVING,ALBANY COUNTY_DRIVING,ALBEMARLE COUNTY_WALKING,ALEXANDRIA CITY_WALKING,CREEK COUNTY_DRIVING,CUMBERLAND COUNTY_DRIVING,CUYAHOGA COUNTY_TRANSIT,CUYAHOGA COUNTY_DRIVING,BEXAR COUNTY_DRIVING,BIBB COUNTY_DRIVING,BLAINE COUNTY_DRIVING,DURHAM COUNTY_DRIVING,EAGLE COUNTY_WALKING,EDDY COUNTY_DRIVING,EFFINGHAM COUNTY_DRIVING,EL PASO COUNTY_TRANSIT,ELLIS COUNTY_DRIVING,CARROLL COUNTY_DRIVING,CARSON COUNTY_DRIVING,CASS COUNTY_DRIVING,CHAMBERS COUNTY_DRIVING,CHAMPAIGN COUNTY_DRIVING,CHARLOTTE COUNTY_WALKING,LOS ANGELES_WALKING,LOUISVILLE_DRIVING,LYON_DRIVING,MADISON_WALKING,MANCHESTER_DRIVING,MANILA_TRANSIT,MANNHEIM_WALKING,MIAMI_WALKING,MIAMI_TRANSIT,MIAMI_DRIVING,MILWAUKEE_WALKING,MILWAUKEE_TRANSIT,MINNEAPOLIS_WALKING,MINNEAPOLIS_TRANSIT,MITO_TRANSIT,AMSTERDAM_TRANSIT,ANCHORAGE_WALKING,ANNAPOLIS_WALKING,BANGKOK_DRIVING,BELFAST_DRIVING,BELO HORIZONTE_WALKING,BERGAMO_WALKING,BIRMINGHAM_DRIVING,MARLBOROUGH REGION_DRIVING,MICHIGAN_WALKING,MICHOAC+ÍN_DRIVING,MIDI-PYR+¬N+¬ES REGION_WALKING,MIDI-PYR+¬N+¬ES REGION_TRANSIT,UPPER NORMANDY REGION_DRIVING,UUSIMAA_TRANSIT,RIVERSIDE COUNTY_TRANSIT,RUTHERFORD COUNTY_DRIVING,WILLIAMSON COUNTY_WALKING
10,2020-01-23,1,92.18,103.94,106.94,104.38,100.77,109.2,128.39,114.17,101.22,146.35,106.37,96.14,104.25,97.65,93.13,128.29,112.93,110.56,102.12,105.21,110.18,102.54,101.14,113.27,107.78,104.63,100.64,105.06,115.61,111.79,100.68,96.55,108.97,100.88,108.72,127.05,42.53,99.57,104.52,110.02,90.62,107.3,111.0,106.7,90.21,108.69,109.62,111.11,98.15,113.86,115.62,111.72,116.1,109.15,114.67,109.27,121.55,116.0,108.57,103.49,257.85,106.03,121.01,102.63,96.7,94.63,110.12,112.74,115.0,130.39,106.57,101.01,104.22,94.3,123.47,100.24,111.33,67.85,113.72,107.32,103.43,98.54,91.16,121.73,107.81,103.8,107.88,97.35,108.4,100.1
11,2020-01-24,1,100.74,117.61,125.83,146.56,132.23,146.87,166.6,132.02,111.99,200.38,136.49,123.9,119.85,120.75,109.01,142.61,165.93,121.22,113.89,130.91,123.28,113.3,116.81,134.92,109.48,120.01,111.99,120.38,146.41,125.39,122.75,106.38,115.05,122.55,125.38,163.21,51.87,121.57,137.71,124.17,95.43,126.54,128.25,122.97,94.13,120.94,163.55,101.52,121.39,127.19,143.29,150.0,117.23,114.35,138.61,122.38,138.38,135.03,124.05,114.27,254.12,107.66,127.08,120.06,123.5,102.02,122.63,141.85,123.23,157.16,104.04,128.29,126.94,120.33,134.32,125.93,123.62,78.15,106.0,109.67,92.98,123.08,108.05,138.46,113.44,111.14,106.76,100.98,126.21,119.22
12,2020-01-25,1,107.75,133.5,132.51,164.38,146.47,152.2,154.11,115.15,89.94,209.05,144.46,125.56,117.96,110.26,101.29,138.44,122.21,122.99,122.34,119.97,167.76,117.91,104.42,144.28,95.15,110.47,102.91,137.25,159.47,117.83,114.72,108.91,113.48,108.92,111.34,179.18,47.07,130.85,130.82,106.31,71.67,126.06,120.21,121.45,86.62,114.5,190.21,88.23,119.45,104.13,127.39,121.8,113.37,121.72,146.67,124.69,117.64,155.49,117.07,112.16,236.84,100.52,93.97,155.43,138.25,89.63,112.8,161.97,99.42,179.7,88.32,132.68,130.72,112.05,172.52,117.15,120.68,112.79,144.65,106.49,95.5,139.19,111.05,156.81,110.98,112.98,106.15,79.8,123.43,133.57
13,2020-01-26,1,82.94,125.22,102.63,93.85,92.85,107.6,93.85,83.86,78.01,144.94,122.07,91.25,85.82,90.44,78.11,101.49,111.81,89.55,82.39,104.76,88.67,92.91,85.82,96.83,77.41,82.74,75.44,109.39,122.8,83.85,70.48,90.93,88.74,93.8,84.48,147.86,34.76,96.22,88.13,91.13,58.46,81.01,84.34,82.0,65.01,79.68,121.48,70.48,91.61,75.82,112.93,109.3,80.6,90.62,107.96,99.49,79.87,106.78,79.99,86.31,120.42,89.14,94.76,79.26,97.93,72.92,82.05,94.63,79.96,104.33,69.18,99.75,115.71,80.32,93.82,106.88,83.35,68.6,115.86,87.77,106.47,74.92,85.24,75.88,97.71,91.51,95.31,66.31,83.48,92.66
14,2020-01-27,1,95.14,103.81,103.31,92.49,95.88,105.45,98.76,93.89,107.72,136.22,95.38,93.29,93.29,96.73,76.61,106.47,99.37,96.62,99.58,90.61,95.08,94.31,94.05,100.37,106.18,98.38,96.24,88.51,110.33,105.57,98.34,88.23,97.41,102.4,98.83,111.57,43.22,90.6,102.38,99.19,94.64,94.82,99.94,95.36,93.47,98.94,86.33,106.94,91.74,124.01,103.95,100.87,98.07,98.16,102.93,90.66,102.69,106.25,95.37,95.78,201.02,98.49,101.76,99.59,96.35,98.79,98.52,99.64,102.76,111.69,94.94,91.9,102.57,87.02,94.48,93.79,104.53,100.82,100.74,99.69,97.61,88.98,82.9,96.38,100.22,96.55,100.38,101.22,101.5,95.79
15,2020-01-28,1,88.36,101.05,100.17,99.89,96.51,108.42,105.4,102.31,105.03,132.18,107.57,105.86,93.38,73.11,88.13,111.74,96.34,102.62,103.65,97.59,110.57,87.42,99.28,104.61,106.03,107.52,95.52,97.47,110.34,110.59,100.07,85.66,100.37,104.44,107.2,127.25,41.36,96.34,89.71,107.96,100.17,101.87,103.3,101.87,58.09,104.46,91.17,110.95,97.37,118.76,85.88,108.43,97.34,97.3,118.07,104.92,115.08,109.04,99.45,96.82,192.19,108.44,93.57,117.24,99.55,98.94,103.55,109.64,110.03,112.0,95.26,95.51,101.24,79.64,98.88,96.14,111.83,115.61,98.38,108.12,90.27,90.53,83.21,105.74,101.8,100.19,105.83,95.89,103.89,99.31
16,2020-01-29,1,92.93,105.54,98.61,106.04,96.86,111.12,102.07,102.33,110.51,124.43,97.29,89.36,86.29,91.78,77.18,114.68,107.37,103.64,108.28,100.94,101.73,101.86,98.39,106.48,107.68,104.52,95.73,103.27,111.65,104.31,95.45,85.9,99.32,98.28,106.86,127.41,43.99,94.51,101.52,102.54,92.23,102.33,106.88,100.2,69.06,105.04,101.63,105.25,107.74,122.03,107.55,118.99,107.25,102.37,113.67,99.08,102.02,107.61,101.74,111.2,186.57,117.61,96.55,112.56,102.21,99.81,105.18,108.55,103.86,110.96,94.73,92.35,102.81,86.71,128.14,95.92,113.3,103.35,117.22,108.75,98.16,91.13,87.79,118.01,100.16,102.97,102.98,102.39,103.93,100.18
17,2020-01-30,1,103.12,103.6,103.62,105.22,104.07,113.61,108.64,107.47,101.22,134.81,122.95,105.36,105.01,110.29,86.05,117.75,122.6,110.33,111.19,98.01,105.3,90.99,101.71,110.9,104.85,112.61,102.05,108.09,120.78,110.54,106.1,91.19,108.58,100.08,111.63,153.13,40.73,101.65,115.9,114.96,96.48,106.46,110.02,112.24,92.62,108.35,107.54,107.82,118.15,115.75,115.9,123.55,118.36,107.52,121.42,98.06,111.99,112.22,104.65,110.36,192.44,104.73,93.82,104.29,115.51,104.0,115.25,113.91,113.09,118.15,97.08,96.47,111.75,91.35,110.65,99.93,122.51,110.19,104.12,102.93,94.76,97.82,93.45,115.16,103.06,104.71,101.18,97.94,115.49,93.83
18,2020-01-31,1,110.9,121.92,127.4,139.02,138.3,136.5,152.16,124.97,105.08,183.33,131.31,129.11,116.26,120.26,104.15,144.03,157.78,113.3,115.17,127.78,121.7,115.17,116.9,133.03,106.53,119.06,115.91,119.64,144.87,133.34,128.63,101.46,114.7,130.35,125.36,216.08,49.45,126.15,139.37,130.13,100.11,123.51,129.02,132.65,100.0,124.78,139.65,105.2,119.13,115.49,142.14,134.11,121.9,125.47,150.34,119.42,128.89,136.63,125.83,112.8,241.76,109.08,98.56,131.63,145.54,111.53,132.65,162.05,122.04,152.66,99.55,129.87,132.62,109.72,134.45,130.19,127.43,114.58,130.54,110.65,98.03,128.45,114.4,139.5,112.23,112.47,108.93,104.13,129.57,119.89
19,2020-02-01,1,110.43,142.04,123.3,152.4,152.14,147.64,149.27,113.66,82.28,208.88,153.86,119.66,129.02,117.63,103.08,135.18,144.07,128.72,117.09,135.23,171.05,130.64,114.21,145.31,93.13,112.65,101.23,136.57,141.0,120.66,118.56,102.11,110.72,119.87,115.9,158.3,45.35,145.96,139.78,106.43,77.23,122.67,126.56,129.3,89.16,115.47,174.13,84.77,109.67,100.43,126.52,120.25,117.87,128.42,150.45,144.35,103.97,161.75,119.41,118.55,265.97,104.93,81.39,142.71,159.48,97.23,123.52,197.19,103.22,189.2,89.36,126.21,142.68,105.73,179.55,121.94,126.86,102.85,152.85,106.63,92.11,134.56,126.56,174.67,124.14,119.88,103.13,78.4,122.2,144.29
