Date,target,predicted
2020-01-13,69.8,67.86355740338571
2020-01-14,69.2,68.93067622508313
2020-01-15,69.09,66.39591010563461
2020-01-16,68.82,65.67862073740496
2020-01-17,68.56,69.3898812440668
2020-01-18,68.56,67.60729933253737
2020-01-19,68.56,67.11901795650022
2020-01-20,68.56,66.4298505863008
2020-01-21,67.58,65.36576243077161
2020-01-22,67.19,66.11434851233534
2020-01-23,66.77,68.13102289341849
2020-01-24,66.32,68.10264829619996
2020-01-25,66.32,64.36167539889433
2020-01-26,66.32,64.76271388264715
2020-01-27,64.74,64.1152933922927
2020-01-28,64.65,60.52098901672299
2020-01-29,64.11,62.781380281342415
2020-01-30,64.79,64.31144615077815
2020-01-31,62.12,64.66312537347176
2020-02-01,62.12,64.3377167007351
2020-02-02,62.12,62.98437961930802
2020-02-03,60.73,61.01321186564448
2020-02-04,59.97,61.413226005923406
2020-02-05,62.73,60.005187131340925
2020-02-06,61.88,63.29708993833844
2020-02-07,61.47,62.31950543404503
2020-02-08,61.47,59.873668180689755
2020-02-09,61.47,61.05890156264033
2020-02-10,59.96,60.482945371659184
2020-02-11,60.53,58.95678047469272
2020-02-12,61.27,60.3128423835428
2020-02-13,60.93,61.4647201727822
2020-02-14,60.65,62.43220430645857
2020-02-15,60.65,61.75450106324788
2020-02-16,60.65,59.69832710907525
2020-02-17,60.65,58.45234316703798
2020-02-18,59.88,61.48638162275057
2020-02-19,60.34,58.62336914769818
2020-02-20,59.86,57.00783789391116
2020-02-21,59.13,58.047333381366144
2020-02-22,59.13,57.82902987936172
2020-02-23,59.13,56.73064166233165
2020-02-24,56.36,57.89891123015714
2020-02-25,54.2,57.15828010490246
2020-02-26,53.01,54.722692796152096
2020-02-27,49.82,55.84481523105585
2020-02-28,51.44,53.1392687050287
2020-02-29,51.44,51.01538228738601
2020-03-01,51.44,53.1072507481865
2020-03-02,51.44,49.34512596564359
2020-03-03,53.88,50.19397789819968
2020-03-04,51.3,52.02831692531569
2020-03-05,52.42,51.89215328515634
2020-03-06,50.11,49.9769943138715
2020-03-07,47.69,51.72458801215871
2020-03-08,47.69,47.76610018816696
2020-03-09,40.88,46.386683079765156
2020-03-10,40.88,45.49066113546643
2020-03-11,43.41,46.819586565112616
2020-03-12,43.41,43.67886255221461
2020-03-13,43.41,41.27746645721008
2020-03-14,43.41,40.830375623848404
2020-03-15,43.41,39.9210756101565
2020-03-16,38.12,36.81570417377027
2020-03-17,34.49,37.194989144639756
2020-03-18,34.49,33.47145081645221
2020-03-19,33.37,32.667877945741765
2020-03-20,32.83,32.02486427391565
2020-03-21,32.74,34.283284092882795
2020-03-22,32.74,32.059741030434026
2020-03-23,31.47,32.36423498517905
2020-03-24,31.47,32.047579191422095
2020-03-25,31.47,31.81656532955366
2020-03-26,31.47,33.3989363994049
2020-03-27,31.47,31.72713165605545
2020-03-28,31.47,33.66429628148576
2020-03-29,36.95,36.28136954538405
2020-03-30,36.95,36.22480816710491
2020-03-31,38.3,38.917308014785036
2020-04-01,36.49,37.3697330691851
2020-04-02,38.63,38.60178163866456
2020-04-03,42.07,39.659200711871925
2020-04-04,39.21,39.207352881213126
2020-04-05,39.21,39.986942086643275
2020-04-06,39.21,38.689714168979535
2020-04-07,39.21,40.302366475037324
2020-04-08,39.21,40.24137564901111
2020-04-09,39.21,40.391378929198495
2020-04-10,39.21,41.90812410232874
2020-04-11,39.21,41.634838087473504
2020-04-12,39.21,41.29762155460076
2020-04-13,39.21,40.61994920925781
2020-04-14,39.21,39.668095907049405
2020-04-15,39.21,38.8902702599715
2020-04-16,39.15,43.44708330098011
2020-04-17,43.22,43.21977950098051
2020-04-18,43.22,43.71255764008132
2020-04-19,43.22,41.244174417213735
2020-04-20,41.18,42.51334434215224
2020-04-21,40.96,42.16225343753716
2020-04-22,42.13,41.58510519451623
2020-04-23,43.45,42.710697572168264
2020-04-24,43.73,41.58708199882562
2020-04-25,43.73,41.689175634078644
2020-04-26,43.73,40.75346298333082
2020-04-27,43.94,41.66394151624766
2020-04-28,44.97,42.865485185554924
2020-04-29,47.46,44.158293200398305
2020-04-30,46.47,44.361578395558155
2020-05-01,43.14,41.88578560169839
2020-05-02,43.14,43.18517212200403
2020-05-03,43.14,40.84354208116285
2020-05-04,44.88,43.78204749240628
2020-05-05,44.83,43.79301141045875
2020-05-06,43.99,42.92925298457861
2020-05-07,44.24,44.02712029464069
2020-05-08,46.18,44.827157232720936
2020-05-09,46.18,43.43946008879574
2020-05-10,46.18,43.58206603416846
2020-05-11,45.74,43.887902210961975
2020-05-12,44.12,43.036770472525255
2020-05-13,41.93,43.99158157312212
2020-05-14,42.3,44.158003034340986
2020-05-15,42.0,44.218641834270485
2020-05-16,42.0,45.35347865479427
2020-05-17,42.0,47.02478933632528
2020-05-18,45.34,46.58017130149493
2020-05-19,43.94,45.745322013760365
2020-05-20,45.37,46.09748002550211
2020-05-21,44.56,44.033556480948945
2020-05-22,44.6,45.13906892676923
2020-05-23,44.6,48.34642940066062
2020-05-24,44.6,46.35724177714523
2020-05-25,44.6,43.112920392164334
2020-05-26,45.91,42.63792284361192
2020-05-27,46.24,46.101153080509015
2020-05-28,45.04,44.906018481234774
2020-05-29,45.47,45.50413957493967
2020-05-30,45.47,42.971204692740685
2020-05-31,45.47,43.76494741773382
2020-06-01,46.28,47.32522774235323
2020-06-02,47.31,47.92526305297378
2020-06-03,49.24,48.356985823866
2020-06-04,49.1,47.2271029798814
2020-06-05,53.08,51.725672212989636
2020-06-06,53.08,53.778689866948625
